Term,Definition
Soil,"Soil is the uppermost layer of the Earth that supports plant growth. It consists of minerals, organic matter, water, and air. Healthy soil provides nutrients, stores water, and supports biodiversity essential for agriculture."
Soil fertility,"Soil fertility refers to the soil's ability to supply essential nutrients to crops in adequate amounts. It depends on soil texture, organic matter, pH, and microbial activity. Fertile soil ensures sustainable crop yields and ecosystem balance."
Soil erosion,"Soil erosion is the removal of the top fertile layer of soil by wind or water. It reduces soil productivity and leads to sedimentation in water bodies. Conservation methods like contour farming, mulching, and afforestation help prevent erosion."
Irrigation,Irrigation is the artificial application of water to soil or land to support crop growth. It compensates for inadequate rainfall and improves productivity. Efficient irrigation systems prevent water waste and soil salinization.
Drip irrigation,"Drip irrigation delivers water directly to plant roots through pipes and emitters. It minimizes evaporation and water loss, increases efficiency, and is ideal for water-scarce regions and horticultural crops."
Sprinkler irrigation,"Sprinkler irrigation distributes water through pipes and nozzles that simulate natural rainfall. It provides uniform water distribution, reduces soil erosion, and is suitable for uneven terrains."
Mulching,"Mulching covers the soil with materials such as straw, leaves, or compost to conserve moisture, suppress weeds, and regulate temperature. It enhances soil structure and reduces erosion."
Crop rotation,"Crop rotation is the practice of growing different crops in the same field in sequential seasons. It prevents nutrient depletion, controls pests, and improves soil fertility naturally."
Organic farming,"Organic farming is a method that avoids synthetic fertilizers and pesticides. It relies on compost, crop rotation, and biological pest control to maintain soil health and produce chemical-free food."
Agroforestry,"Agroforestry integrates trees and shrubs into crop and livestock systems. It improves biodiversity, prevents soil erosion, enhances carbon sequestration, and provides additional income from timber and fruits."
Vermicomposting,"Vermicomposting is the process of using earthworms to convert organic waste into nutrient-rich compost called vermicompost. It improves soil aeration, enhances microbial activity, and provides a natural fertilizer for sustainable farming."
Composting,Composting is the biological decomposition of organic waste such as crop residues and manure into nutrient-rich material that improves soil structure and fertility. It reduces waste and supports sustainable agriculture.
Biofertilizer,"A biofertilizer contains living microorganisms that enhance nutrient availability to plants. Examples include Rhizobium, Azotobacter, and Azospirillum, which fix nitrogen and improve soil health naturally."
Fertilizer,"Fertilizers are substances added to soil to supply essential nutrients for plant growth. They can be organic or inorganic, and balanced application improves yield and soil productivity."
Manure,"Manure is decomposed animal dung or plant waste used to improve soil fertility. It adds organic matter, enhances moisture retention, and promotes microbial activity."
Cover crops,"Cover crops are plants grown mainly to protect soil rather than for harvest. They prevent erosion, suppress weeds, improve organic matter, and maintain soil fertility."
Green manure,Green manure refers to crops grown and plowed into the soil to increase organic matter and nutrients. Common green manure crops include legumes that fix nitrogen naturally.
Pesticide,"A pesticide is a chemical or biological substance used to control pests, weeds, or plant diseases. Responsible use minimizes environmental harm and ensures crop safety."
Integrated pest management,"Integrated Pest Management (IPM) combines biological, cultural, physical, and chemical methods to manage pests economically while minimizing environmental damage."
Rainwater harvesting,"Rainwater harvesting is the collection and storage of rainwater for irrigation or domestic use. It conserves water, reduces dependence on groundwater, and improves sustainability."
Contour farming,"Contour farming involves plowing and planting crops along the natural contours of the land. It reduces soil erosion, enhances water infiltration, and conserves nutrients."
Terracing,Terracing creates leveled platforms on sloped land to prevent soil erosion and runoff. It allows efficient water retention and cultivation on hilly terrain.
Sustainable livestock,"Sustainable livestock management focuses on efficient feed use, animal welfare, and waste recycling. It reduces methane emissions and supports ecological balance."
Biodiversity,"Biodiversity refers to the variety of living organisms within ecosystems. It supports pollination, pest control, and ecological resilience essential for sustainable agriculture."
Carbon sequestration,"Carbon sequestration is the process of capturing and storing atmospheric carbon dioxide in soil, vegetation, or biomass to mitigate climate change impacts."
Hydroponics,"Hydroponics is a method of growing plants without soil, using nutrient-rich water. It saves water, increases yield, and allows year-round production."
Aquaponics,"Aquaponics integrates aquaculture (fish farming) and hydroponics in a closed-loop system where fish waste provides nutrients for plants, and plants purify water for fish."
Biogas,Biogas is a renewable fuel produced by anaerobic digestion of organic waste. It generates energy for cooking or electricity and provides nutrient-rich slurry as fertilizer.
Renewable energy,"Renewable energy in agriculture includes solar, wind, and biogas power. It reduces carbon emissions, lowers costs, and promotes sustainable rural development."
Climate-smart agriculture,"Climate-smart agriculture (CSA) includes practices that enhance productivity, resilience, and reduce greenhouse gas emissions to adapt to climate change."
Water conservation,"Water conservation in agriculture focuses on efficient use and management of water resources through drip irrigation, rainwater harvesting, and soil moisture retention."
Organic pest control,"Organic pest control uses natural substances and biological methods like neem oil, garlic extract, and beneficial insects to manage pests. It avoids harmful chemicals and preserves ecological balance."
Permaculture,"Permaculture is a design system that mimics natural ecosystems to create self-sustaining agricultural environments. It focuses on diversity, resilience, and efficient resource use."
No-till farming,"No-till farming is a conservation practice where crops are planted directly into undisturbed soil. It improves soil structure, reduces erosion, and enhances carbon storage."
Zero Budget Natural Farming,"Zero Budget Natural Farming (ZBNF) is an Indian method that eliminates external chemical inputs. It promotes natural fertilizers like cow dung, urine-based bio-inputs, and local resources for low-cost farming."
Deforestation,"Deforestation is the large-scale removal of forest cover for agriculture or development. It leads to habitat loss, biodiversity decline, and contributes to global warming."
Agroecology,"Agroecology applies ecological principles to agriculture for sustainable food systems. It integrates biodiversity, soil health, and traditional knowledge for long-term productivity."
Pollinators,"Pollinators such as bees, butterflies, and birds are essential for plant reproduction. They increase crop yields and biodiversity but are threatened by pesticides and habitat loss."
Nutrient management,Nutrient management ensures the right balance of fertilizers and organic inputs to meet crop needs while reducing waste and pollution.
Soil testing,"Soil testing analyzes nutrient content, pH, and structure to guide fertilizer use. It helps farmers improve yields and prevent soil degradation."
Food security,"Food security ensures that all people have reliable access to sufficient, safe, and nutritious food. Sustainable farming practices are key to achieving it."
Precision agriculture,"Precision agriculture uses GPS, sensors, drones, and data analytics to optimize water, fertilizer, and pesticide application for maximum efficiency and minimum waste."
Farm mechanization,"Farm mechanization involves the use of machinery such as tractors, harvesters, and irrigation systems to increase efficiency, reduce labor, and boost productivity."
Crop diversification,"Crop diversification means growing multiple crop species on the same farm to spread risk, improve soil health, and increase income stability."
Integrated nutrient management,"Integrated nutrient management combines organic, inorganic, and biological inputs to sustain soil fertility and reduce dependence on chemical fertilizers."
Sustainable water management,"Sustainable water management focuses on conserving water through efficient irrigation, rainwater harvesting, and recycling to ensure long-term availability."
Agro-tourism,"Agro-tourism combines farming with tourism, allowing visitors to experience rural life and providing farmers with additional income and awareness opportunities."
Regenerative agriculture,"Regenerative agriculture restores soil health, biodiversity, and water cycles through minimal tillage, cover crops, and composting to reverse environmental degradation."
Sustainable forestry,Sustainable forestry manages forests to meet current needs while preserving biodiversity and resources for future generations.
Carbon footprint,"Carbon footprint measures the total greenhouse gas emissions caused by human activities, including agriculture. Reducing it helps mitigate climate change."
Organic certification,"Organic certification verifies that a farm follows standards prohibiting synthetic fertilizers, pesticides, and GMOs, ensuring genuine organic produce."
Seed bank,"A seed bank stores and preserves seeds of different plant species for future use, protecting genetic diversity and ensuring crop resilience against disasters."
Drought-resistant crops,"Drought-resistant crops require less water and withstand dry conditions, helping farmers adapt to climate change and water scarcity."
Greenhouse,"A greenhouse is a structure made of transparent materials like glass or plastic that allows sunlight in and traps heat, creating a controlled environment for growing crops year-round."
Precision irrigation,"Precision irrigation uses sensors and data analysis to deliver the exact amount of water required by each crop, minimizing waste and improving efficiency."
Sustainable aquaculture,"Sustainable aquaculture focuses on responsible fish farming that minimizes environmental impact, maintains biodiversity, and ensures long-term productivity."
Organic certification process,"The organic certification process verifies that farming practices meet organic standards, ensuring crops are grown without synthetic chemicals or genetically modified organisms."
Water harvesting ponds,"Water harvesting ponds collect and store rainwater for irrigation and livestock use, improving water availability during dry seasons."
Agro-meteorology,"Agro-meteorology studies the relationship between weather and agriculture, helping farmers plan sowing, irrigation, and harvesting based on climate data."
Biological pest control,"Biological pest control uses natural predators, parasites, or microorganisms to manage pest populations safely and sustainably."
Value addition,"Value addition increases the market value of agricultural products through processing, packaging, or branding, improving farmers’ income and reducing waste."
Farm waste recycling,"Farm waste recycling converts crop residues and animal waste into compost, biofertilizer, or biogas, promoting sustainability and reducing pollution."
Solar farming,"Solar farming uses solar panels to generate renewable energy for irrigation, processing, and other agricultural operations, reducing dependency on fossil fuels."
Renewable irrigation pumps,"Renewable irrigation pumps are powered by solar or wind energy, providing sustainable water supply solutions for farmers in remote areas."
Manure management,"Manure management involves the safe handling, storage, and utilization of animal waste as organic fertilizer or biogas feedstock to prevent pollution and enhance soil fertility."
Agri cooperatives,"Agri cooperatives are farmer-owned organizations that pool resources for better marketing, input purchasing, and price negotiation, improving farmers’ collective strength."
Smart greenhouse,"A smart greenhouse uses automation, IoT sensors, and climate control systems to maintain optimal growing conditions and improve crop yield and quality."
Vertical farming,"Vertical farming grows crops in stacked layers, often in controlled indoor environments, saving space, water, and energy while enabling urban food production."
Urban agriculture,"Urban agriculture refers to growing food in and around cities through rooftop gardens, vertical systems, and community farms, improving food access and sustainability."
Sustainable development goals,"The Sustainable Development Goals (SDGs) are global objectives adopted by the United Nations to promote environmental sustainability, food security, and social equity."
Food processing,"Food processing involves transforming raw agricultural products into consumable forms through techniques like cleaning, drying, and packaging to increase shelf life and value."
Agri marketing,"Agri marketing includes all activities involved in moving agricultural products from farm to consumer, including storage, transportation, grading, and pricing."
Farm safety,"Farm safety involves preventing accidents and injuries on farms by promoting safe equipment use, proper training, and protective measures for workers."
Women in agriculture,"Women in agriculture play vital roles in crop production, livestock care, and agribusiness. Empowering them improves productivity and rural livelihoods."
Youth in farming,"Encouraging youth participation in agriculture introduces innovation, technology adoption, and sustainable farming practices for future food security."
Climate adaptation,"Climate adaptation in agriculture involves adjusting practices like crop choice, irrigation, and timing to minimize the effects of climate change."
Post-harvest management,"Post-harvest management covers all activities from harvesting to storage, processing, and marketing, reducing losses and maintaining product quality."
Crop insurance,"Crop insurance protects farmers against financial losses due to natural disasters, pests, or price fluctuations, ensuring income stability."
Rainfed agriculture,"Rainfed agriculture depends solely on rainfall for crop growth, requiring water conservation and drought-resistant varieties to sustain productivity."
Pasture management,"Pasture management involves maintaining healthy grasslands for livestock by controlling grazing, rotating pastures, and reseeding degraded areas."
Livestock feed,"Livestock feed includes natural forage, grains, and formulated supplements that provide essential nutrients for animal growth and milk or meat production."
Water footprint,"Water footprint measures the total amount of freshwater used directly and indirectly to produce agricultural goods, helping evaluate sustainability."
Nutrient cycling,"Nutrient cycling is the natural movement and reuse of nutrients like nitrogen and carbon between soil, plants, and atmosphere, maintaining ecosystem balance."
Biochar,"Biochar is a carbon-rich material produced from biomass through pyrolysis. It improves soil fertility, water retention, and carbon sequestration."
Soil microbes,"Soil microbes are microorganisms such as bacteria and fungi that decompose organic matter, fix nitrogen, and enhance soil fertility for sustainable farming."
Organic seed production,"Organic seed production ensures that seeds are developed using natural, chemical-free methods. It maintains genetic purity and supports organic farming systems."
Agro-waste management,"Agro-waste management focuses on recycling farm residues, processing biomass, and converting waste into valuable by-products like compost and bioenergy."
Crop yield forecasting,"Crop yield forecasting uses data models, remote sensing, and AI to predict crop output, helping policymakers and farmers plan for supply and food security."
Agri finance,"Agri finance provides loans, insurance, and subsidies to farmers for purchasing inputs, machinery, or land, supporting agricultural sustainability and innovation."
Sustainable packaging,"Sustainable packaging uses biodegradable, compostable, or recyclable materials to reduce environmental impact in the storage and transportation of food products."
Agri education,"Agri education provides knowledge and skills related to modern and traditional farming practices, promoting innovation and youth engagement in agriculture."
Wastewater reuse,"Wastewater reuse involves treating and reusing agricultural or domestic water for irrigation, reducing freshwater demand and preventing pollution."
Crop residue management,"Crop residue management turns leftover plant materials after harvest into compost or biomass fuel instead of burning, reducing pollution and improving soil health."
Renewable fertilizer,"Renewable fertilizers are produced from organic waste, algae, or microbes, providing an eco-friendly alternative to synthetic chemical fertilizers."
Farmer producer organizations,"Farmer Producer Organizations (FPOs) are collective groups that help small farmers access markets, negotiate better prices, and share resources for improved profitability."
Seed germination,"Seed germination is the process by which a seed sprouts and begins to grow into a plant. It requires moisture, oxygen, and the right temperature. Healthy germination ensures strong crop establishment."
Transpiration,Transpiration is the loss of water vapor from plant leaves through tiny pores called stomata. It helps in cooling plants and transporting nutrients. It plays a key role in the water cycle.
Photosynthesis,"Photosynthesis is the process where green plants use sunlight, water, and carbon dioxide to produce food. It releases oxygen into the atmosphere. This process is essential for plant growth and life on Earth."
Soil compaction,"Soil compaction occurs when soil particles are pressed together, reducing pore space. It restricts root growth and water infiltration. Proper tillage helps prevent soil compaction."
Crop spacing,Crop spacing refers to the distance maintained between plants while sowing. Proper spacing improves air circulation and sunlight exposure. It reduces competition for nutrients and water.
Plant nutrients,"Plant nutrients are essential chemical elements required for plant growth. These include nitrogen, phosphorus, potassium, and micronutrients. Balanced nutrient supply improves crop health and yield."
Soil moisture,Soil moisture is the water content present in the soil. It affects seed germination and plant growth. Proper soil moisture management prevents crop stress and yield loss.
Grafting,Grafting is a horticultural technique where tissues of two plants are joined. It combines desirable traits such as disease resistance and improved yield. It is widely used in fruit crops.
Pruning,Pruning is the practice of trimming unnecessary plant parts to improve growth. It increases air flow and sunlight penetration. It helps in better fruit and flower production.
Weed management,"Weed management is the control of unwanted plants that compete with crops. Methods include manual weeding, mulching, and herbicides. Effective management improves crop productivity."
Intercropping,Intercropping is growing two or more crops in the same field simultaneously. It improves resource use efficiency and reduces pest risks. Farmers use it to increase overall yield.
Mixed farming,Mixed farming involves growing crops and rearing livestock on the same farm. Animal waste improves soil fertility. It increases farm income stability.
Soil salinity,Soil salinity is the accumulation of salts in soil. It reduces plant growth and crop yield. Proper drainage and salt-tolerant crops help manage salinity.
Plant breeding,"Plant breeding is the science of developing improved plant varieties. It enhances yield, disease resistance, and climate adaptability. It supports food security and sustainability."
Crop maturity,Crop maturity refers to the stage when crops are ready to harvest. Harvesting at the right time ensures better quality and yield. Early or late harvesting reduces productivity.
Farm irrigation scheduling,Irrigation scheduling is the process of deciding when and how much water to apply. It prevents water wastage and crop stress. It improves water-use efficiency.
Soil organic carbon,Soil organic carbon is the carbon stored in soil as organic matter. It improves soil structure and fertility. Higher levels enhance water retention and crop growth.
Plant phenology,Plant phenology studies the timing of plant growth stages. It helps farmers plan irrigation and fertilization. It is affected by climate and weather patterns.
Fodder crops,Fodder crops are grown to feed livestock. They provide essential nutrients for animal health. Proper fodder management improves milk and meat production.
Crop residue burning,Crop residue burning is the practice of burning leftover crop materials. It causes air pollution and nutrient loss. Sustainable alternatives include composting and mulching.
Agro-climatic zones,Agro-climatic zones classify regions based on climate and soil. They help determine suitable crops for each area. This improves crop planning and yield.
Seed treatment,Seed treatment involves applying chemicals or bio-agents to seeds before sowing. It protects seeds from pests and diseases. It improves germination and early growth.
Plant protection,"Plant protection involves preventing crops from pests and diseases. It includes biological, chemical, and cultural practices. Proper protection ensures healthy yields."
Crop lodging,Crop lodging occurs when plants bend or fall over due to wind or weak stems. It reduces yield and harvesting efficiency. Proper nutrition and spacing help prevent it.
Soil aeration,Soil aeration improves oxygen availability in soil. It enhances root respiration and microbial activity. It improves plant health and productivity.
Drip fertigation,Drip fertigation combines irrigation and fertilizer application through drip systems. It ensures precise nutrient delivery. It improves fertilizer use efficiency.
Mulch farming,Mulch farming involves covering soil with organic or plastic materials. It conserves moisture and controls weeds. It improves soil health and crop yield.
Crop thinning,Crop thinning is the removal of excess seedlings. It reduces competition between plants. It promotes healthy plant development.
Bio-pesticides,Bio-pesticides are pest control agents derived from natural materials. They are environmentally safe and target specific pests. Examples include neem-based products.
Polyculture,Polyculture is growing multiple crop species together. It enhances biodiversity and reduces pest outbreaks. It improves farm resilience.
Seed viability,Seed viability is the ability of a seed to germinate and grow. High viability ensures good crop establishment. Proper storage preserves seed viability.
Soil crusting,Soil crusting is the formation of a hard layer on the soil surface. It reduces water infiltration and seedling emergence. Light tillage prevents crusting.
Rainfed cropping system,Rainfed cropping depends entirely on rainfall for crop growth. It requires moisture conservation practices. It is common in dryland areas.
Precision seeding,Precision seeding places seeds at optimal depth and spacing. It improves uniform germination and yield. It reduces seed wastage.
Soil tilth,Soil tilth refers to the physical condition of soil. Good tilth promotes root growth and water movement. Proper tillage improves soil tilth.
Plant hardening,Plant hardening is the process of gradually exposing seedlings to outdoor conditions. It improves plant survival after transplanting. It reduces transplant shock.
Crop shading,Crop shading reduces soil temperature and moisture loss. It helps in weed suppression. Shade-tolerant crops benefit from shading.
Watershed management,Watershed management involves conserving water and soil in a drainage area. It reduces runoff and erosion. It improves water availability.
Plant spacing,Plant spacing ensures optimal distance between plants. It reduces competition and disease spread. It maximizes crop yield.
Dryland farming,Dryland farming is practiced in regions with low rainfall. It uses moisture conservation techniques. It helps in sustainable crop production.
Fallowing,Fallowing is leaving land uncultivated for a period. It helps restore soil fertility and moisture. It improves long-term productivity.
Soil amendment,Soil amendment is the addition of materials to improve soil quality. Examples include compost and lime. It enhances soil structure and fertility.
Crop monitoring,Crop monitoring involves observing crop health and growth. It helps in early detection of pests and nutrient deficiencies. It improves crop management decisions.
Soil pH,Soil pH is the measure of soil acidity or alkalinity. It affects nutrient availability and microbial activity. Maintaining proper pH helps crops absorb nutrients efficiently.
Micronutrients,"Micronutrients are essential elements like zinc, iron, copper, and boron required in small quantities by plants. They support enzymatic reactions and healthy plant growth."
Macronutrients,"Macronutrients are nutrients required in large quantities such as nitrogen, phosphorus, and potassium. They are vital for leaf, root, and flowering development."
Humus,"Humus is the dark, organic component of soil formed by decomposed plant and animal matter. It improves soil structure, moisture retention, and nutrient availability."
Soil profile,Soil profile is a vertical section of soil showing different layers or horizons. Each layer has unique physical and chemical properties that influence plant growth.
Topsoil,Topsoil is the uppermost fertile layer of soil. It contains the highest amount of organic matter and microorganisms. It is essential for crop production.
Subsoil,Subsoil is the layer beneath topsoil. It contains fewer nutrients but stores minerals and water. Strong roots often penetrate this layer.
Weathering,"Weathering is the breakdown of rocks into smaller particles by physical, chemical, or biological processes. It plays a role in soil formation over time."
Pedology,"Pedology is the scientific study of soil formation, classification, and mapping. It helps understand soil behavior and land use planning."
Edaphology,Edaphology is the study of how soil influences plant growth. It focuses on soil-plant relationships and nutrient availability.
Soil texture,"Soil texture refers to the proportion of sand, silt, and clay particles in soil. It affects water retention, drainage, and root penetration."
Soil structure,"Soil structure is the arrangement of soil particles into aggregates. Good structure improves aeration, water movement, and root growth."
Capillary action,Capillary action is the movement of water through small soil pores against gravity. It helps distribute moisture to plant roots.
Field capacity,Field capacity is the amount of soil moisture retained after excess water drains away. It represents the optimal water level for plant use.
Permanent wilting point,"Permanent wilting point is the soil moisture level at which plants can no longer extract water. At this stage, plants begin to wilt irreversibly."
Soil porosity,Soil porosity is the percentage of pore spaces in soil. It determines the soil’s ability to hold air and water for roots and microbes.
Soil bulk density,Soil bulk density is the mass of soil in a given volume. High bulk density restricts root growth and water movement.
Infiltration rate,Infiltration rate is the speed at which water enters the soil surface. High infiltration reduces runoff and erosion.
Percolation,Percolation is the downward movement of water through soil layers. It helps recharge groundwater.
Water table,Water table is the upper level of groundwater stored in soil or rock. It influences irrigation and crop root depth.
Salinization,Salinization is the accumulation of soluble salts in soil due to poor drainage or over-irrigation. It reduces soil fertility and crop yield.
Alkaline soil,Alkaline soil has a high pH value. It can reduce the availability of micronutrients to plants.
Acidic soil,Acidic soil has a low pH level. It may increase the solubility of toxic metals and reduce crop productivity.
Leaching,"Leaching is the downward movement of nutrients with water through soil. It can cause nutrient loss, especially nitrogen."
Evapotranspiration,Evapotranspiration is the combined loss of water from soil evaporation and plant transpiration. It helps estimate crop water requirements.
Hardpan,Hardpan is a compacted soil layer that restricts root penetration and water movement. Deep plowing helps break hardpan.
Ploughing,Ploughing is the mechanical turning of soil to prepare land for sowing. It improves aeration and loosens compacted soil.
Harrowing,Harrowing is the process of breaking soil clods after ploughing. It creates a fine seedbed for planting.
Levelling,Levelling is the practice of making the soil surface even. It helps in uniform irrigation and crop establishment.
Seedbed preparation,"Seedbed preparation involves creating suitable soil conditions for seed germination. It includes loosening, leveling, and enriching soil."
Broadcasting,Broadcasting is the method of scattering seeds uniformly over the soil surface. It is simple but less precise than line sowing.
Line sowing,"Line sowing is planting seeds in straight rows at regular intervals. It improves spacing, aeration, and crop management."
Transplanting,Transplanting is shifting seedlings from nursery beds to the main field. It ensures uniform plant population and better crop establishment.
Nursery management,Nursery management involves growing and caring for young seedlings before transplanting. It ensures healthy plant growth.
Rabi crops,"Rabi crops are grown in winter season and harvested in spring. Examples include wheat, mustard, and barley."
Kharif crops,"Kharif crops are grown during the monsoon season. Examples include rice, maize, and cotton."
Zaid crops,Zaid crops are grown between Rabi and Kharif seasons. These are usually short-duration summer crops.
Hybrid seeds,Hybrid seeds are produced by crossing two genetically different parent plants. They give higher yield and better disease resistance.
Open-pollinated varieties,Open-pollinated varieties are crops that reproduce naturally. Farmers can save and reuse their seeds for future planting.
Seed dormancy,Seed dormancy is a temporary state where seeds do not germinate despite favorable conditions. It prevents germination at unsuitable times.
Hard water in irrigation,Hard water contains high levels of dissolved minerals. It may cause salt buildup in soil over time.
Surface irrigation,Surface irrigation applies water by flowing it over the field surface. It is simple but less efficient in water use.
Subsurface irrigation,Subsurface irrigation delivers water below the soil surface. It reduces evaporation and improves water efficiency.
Furrow irrigation,Furrow irrigation supplies water through small channels between crop rows. It is widely used for row crops.
Check basin irrigation,Check basin irrigation divides fields into small basins to hold water. It ensures uniform water distribution.
Cropping pattern,Cropping pattern is the sequence and arrangement of crops grown over time in a particular area. It helps in effective resource use.
Monocropping,Monocropping is growing the same crop year after year. It can lead to nutrient depletion and pest buildup.
Multiple cropping,Multiple cropping is growing more than one crop in the same field in a year. It increases land productivity.
Relay cropping,Relay cropping involves planting a second crop before the first crop is harvested. It maximizes resource use efficiency.
Strip cropping,Strip cropping is growing crops in alternating strips. It reduces erosion and improves soil conservation.
Buffer strips,Buffer strips are vegetated areas along field edges. They reduce nutrient runoff and protect water bodies.
Windbreaks,Windbreaks are rows of trees or shrubs planted to reduce wind speed. They protect crops and prevent soil erosion.
Shelterbelts,Shelterbelts are wide windbreaks used to protect large areas of farmland. They improve microclimate for crops.
Land degradation,"Land degradation is the decline in soil quality due to erosion, salinity, or nutrient loss. It reduces agricultural productivity."
Desertification,Desertification is the process where fertile land becomes desert due to climate change and poor land management.
Agro-inputs,"Agro-inputs include seeds, fertilizers, pesticides, and machinery used in farming. Proper management improves productivity."
Crop physiology,Crop physiology studies how plants grow and function. It helps improve crop management techniques.
Soil fertility management,Soil fertility management involves maintaining nutrient levels in soil. It ensures sustainable crop production.
Earthing up,Earthing up is the practice of piling soil around plant bases. It supports plant stability and root development.
Ridge and furrow system,Ridge and furrow farming creates raised beds and channels. It improves drainage and root aeration.
Crop stand,Crop stand refers to the number of healthy plants per unit area. Good crop stand ensures high yield potential.
Plant population density,Plant population density is the number of plants grown per unit area. Proper density avoids competition and improves yield.
Soil reclamation,Soil reclamation restores degraded soil by removing salts and improving structure. It makes land productive again.
Land capability,Land capability is the ability of land to support specific types of use. It guides sustainable land management.
Soil conservation,Soil conservation includes practices that prevent soil degradation. It protects long-term agricultural productivity.
Rain shadow effect,Rain shadow effect occurs when mountains block rainfall to certain regions. It affects crop planning and water availability.
Agro-input subsidy,"Agro-input subsidy is financial support given to farmers for purchasing seeds, fertilizers, or tools. It reduces production costs."
Farm gate price,Farm gate price is the price farmers receive for their produce directly at the farm. It affects farm income and market planning.
Minimum support price,Minimum support price (MSP) is the government-set price to protect farmers from market fluctuations. It ensures minimum income stability.
Crop calendar,"Crop calendar shows the timeline of planting, growing, and harvesting of crops. It helps in efficient farm planning."
Agro-advisory services,"Agro-advisory services provide farmers with guidance on weather, pest control, and crop management. They improve farm decision-making."
Farm credit,Farm credit is financial assistance given to farmers. It helps in purchasing inputs and expanding farm operations.
Land tenure,Land tenure refers to the rights of ownership or use of land. Secure tenure encourages better land management.
Subsistence farming,Subsistence farming is growing food mainly for family consumption. It focuses on self-sufficiency rather than commercial profit.
Commercial farming,Commercial farming is crop and livestock production for market sale. It focuses on profit and large-scale production.
Plant growth regulators,"Plant growth regulators are chemicals that influence plant growth processes. They control flowering, rooting, and fruit development."
Crop simulation models,Crop simulation models use computer programs to predict crop growth and yield. They assist in planning and risk assessment.
Soil water potential,Soil water potential measures how tightly water is held in soil. It influences plant water uptake.
Plant turgidity,Plant turgidity is the firmness of plant cells due to water pressure. It is essential for plant structure and growth.
Agro-ecosystem,"Agro-ecosystem is the ecological system created by agricultural activities. It includes crops, soil, water, and organisms."
Soil horizon,Soil horizon is a distinct layer of soil with specific characteristics. Each horizon plays a role in plant root development.
Cation exchange capacity,Cation exchange capacity (CEC) measures soil’s ability to hold and exchange nutrients. High CEC indicates better fertility.
Soil conditioners,Soil conditioners are materials added to improve soil structure. Examples include gypsum and compost.
Deep plowing,Deep plowing loosens soil at greater depth. It improves root penetration and water infiltration.
Crop scouting,"Crop scouting is regular field inspection to detect pests, diseases, and nutrient deficiencies. It improves timely farm management."
Plant canopy,Plant canopy is the upper layer of leaves formed by crops. It affects light interception and photosynthesis.
Agroforestry buffer,Agroforestry buffer is a protective zone using trees around farms. It prevents erosion and improves biodiversity.
