Term,Definition
Rhizosphere,Rhizosphere is the soil region surrounding plant roots. It is rich in microbial activity and nutrient exchange.
Soil buffering capacity,Soil buffering capacity is the ability of soil to resist changes in pH. It helps maintain stable soil conditions. This protects plants from sudden nutrient imbalances.
Mineralization,Mineralization is the process where microorganisms convert organic nutrients into inorganic forms. It makes nutrients available for plant uptake. This process is vital for natural soil fertility.
Immobilization,Immobilization is when soil microbes absorb nutrients and make them temporarily unavailable to plants. It occurs during decomposition of high-carbon materials. It balances nutrient cycling.
Denitrification,Denitrification is the process of converting nitrates into nitrogen gas by soil bacteria. It reduces available nitrogen in soil. It mostly occurs in waterlogged conditions.
Nitrogen fixation,Nitrogen fixation is the conversion of atmospheric nitrogen into plant-usable forms by bacteria. It increases soil nitrogen levels naturally. Leguminous plants commonly perform this function.
Rhizobium bacteria,Rhizobium is a beneficial bacterium that lives in legume root nodules. It helps fix atmospheric nitrogen. This improves soil fertility without chemical fertilizers.
Mycorrhiza,Mycorrhiza are fungi that form a symbiotic relationship with plant roots. They increase nutrient and water absorption. They also improve plant resistance to stress.
Soil respiration,Soil respiration is the release of carbon dioxide by roots and microorganisms. It indicates soil biological activity. Healthy soils show balanced respiration rates.
Aggregate stability,Aggregate stability is the strength of soil clumps. Good stability reduces erosion and improves water infiltration. Organic matter helps improve soil aggregates.
Soil color,Soil color indicates organic matter and mineral content. Dark soils usually contain more humus. Color helps in soil classification.
Texture triangle,"Texture triangle is a chart used to classify soil based on sand, silt, and clay content. It helps predict water retention and drainage properties."
Soil survey,Soil survey is the systematic study and mapping of soil types. It helps in land-use planning and crop selection. Governments use it for agricultural planning.
Land leveling laser,Laser land leveling uses laser-guided equipment to level fields. It improves water distribution and reduces irrigation losses. It enhances crop uniformity.
Seed drill,Seed drill is a machine that places seeds at correct depth and spacing. It ensures better germination. It saves seed and labor.
Threshing,Threshing is the process of separating grains from harvested crops. Modern threshers increase speed and reduce grain loss. It improves post-harvest efficiency.
Winnowing,Winnowing is the separation of grain from chaff using wind. It helps clean harvested produce. It is a traditional yet effective method.
Crop harvesting,Crop harvesting is the cutting and collecting of mature crops. Timely harvesting ensures maximum yield and quality. Delayed harvesting causes losses.
Moisture stress,Moisture stress occurs when plants do not receive enough water. It reduces growth and yield. Proper irrigation management prevents stress.
Heat stress,Heat stress happens when high temperatures damage plant tissues. It affects flowering and pollination. Shade nets and mulching can reduce damage.
Cold stress,Cold stress occurs when low temperatures damage plant cells. Sensitive crops suffer reduced growth. Greenhouses help protect plants.
Photoperiodism,Photoperiodism is the response of plants to the length of day and night. It influences flowering and growth patterns. Crop varieties differ in sensitivity.
Vernalization,Vernalization is the process of exposing seeds or plants to cold temperatures. It stimulates flowering. It is common in winter crops.
Crop dormancy,Crop dormancy is a resting stage when growth slows. It helps plants survive unfavorable conditions. It resumes when conditions improve.
Seed pelleting,Seed pelleting is coating seeds with protective and nutrient-rich materials. It improves seed handling and germination. It also reduces seedling diseases.
Soil fumigation,Soil fumigation is the application of chemicals to control soil-borne pests. It sterilizes harmful organisms. It is used in high-value crop production.
Trap crops,Trap crops are plants grown to attract pests away from main crops. They help in natural pest management. This reduces pesticide use.
Allelopathy,Allelopathy is the chemical inhibition of one plant by another. Some plants release substances that suppress weeds. It is used in sustainable farming.
Organic mulches,"Organic mulches include straw, leaves, and compost. They decompose and enrich the soil. They also conserve moisture."
Plastic mulches,Plastic mulches are synthetic sheets used to cover soil. They reduce weed growth and retain heat. They are common in vegetable farming.
Hardening of nursery seedlings,Hardening of seedlings prepares young plants for field conditions. It increases resistance to temperature and water stress. It improves survival rate.
Root zone,Root zone is the soil area explored by plant roots. It stores water and nutrients needed by plants. Healthy root zones improve yield.
Plant establishment,Plant establishment is the successful survival and initial growth of seedlings. It determines crop stand and productivity. Good soil and water management help establishment.
Crop coefficient,Crop coefficient is used to estimate water requirements. It varies with crop type and growth stage. It helps in irrigation planning.
Agrohydrology,Agrohydrology studies water movement in agricultural lands. It helps in managing irrigation and drainage. It supports sustainable water use.
Soil water balance,Soil water balance is the relationship between water input and output. It helps estimate irrigation needs. It prevents water logging and drought stress.
Waterlogging,Waterlogging is the saturation of soil with excess water. It reduces oxygen in soil. It harms root growth and crop health.
Drainage systems,Drainage systems remove excess water from fields. They prevent waterlogging and root diseases. They improve soil aeration.
Crop rotation intensity,Crop rotation intensity refers to how frequently crops are changed in a field. Higher intensity improves soil health and reduces pests. It enhances sustainability.
Farming systems,"Farming systems are the combination of crops, livestock, and management practices. They define farm productivity and sustainability. Different regions follow different systems."
Agro-based industries,Agro-based industries use agricultural raw materials for production. Examples include sugar mills and rice mills. They add value to farm produce.
Cold storage,Cold storage is a temperature-controlled facility for storing perishable crops. It reduces spoilage and extends shelf life. It improves market stability.
Grading,Grading is the sorting of agricultural produce based on size and quality. It improves market value. It helps meet export standards.
Sorting,Sorting is the removal of damaged or inferior produce. It enhances product quality. It reduces post-harvest losses.
Packaging,Packaging protects farm produce during transport and storage. Good packaging increases shelf life. It improves visual appeal in markets.
Ripening chambers,Ripening chambers control temperature and gases to ripen fruits uniformly. They improve quality and reduce spoilage. They are used for commercial fruit markets.
Supply chain management,Supply chain management controls the flow of agricultural products from farm to consumer. It reduces delays and losses. It improves food availability.
Market yard,Market yard is a physical place where farmers sell their produce. It connects farmers with traders. It ensures fair price discovery.
Electronic trading,Electronic trading allows online buying and selling of agricultural products. It improves transparency. It gives farmers access to wider markets.
Commodity exchange,Commodity exchange is a platform for trading agricultural goods. It helps in price discovery and risk management. It stabilizes market fluctuations.
Price support schemes,Price support schemes protect farmers from low market prices. Governments intervene to stabilize farm income. This encourages crop production.
Soil solarization,Soil solarization uses sunlight to heat soil and destroy pests. Plastic sheets trap solar energy. It is an eco-friendly pest control method.
Floating agriculture,Floating agriculture grows crops on floating beds of vegetation. It is practiced in flood-prone areas. It helps utilize waterlogged lands.
Dry seeding,Dry seeding is sowing seeds in dry soil before rainfall. It reduces labor and water use. It is common in dryland farming.
Direct seeding,Direct seeding plants seeds directly in the field without transplanting. It saves time and labor. It reduces transplant shock.
Power tiller,Power tiller is a small agricultural machine used for land preparation. It is suitable for small farms. It reduces human effort.
Combine harvester,"Combine harvester performs reaping, threshing, and winnowing in one operation. It saves time and labor. It increases harvesting efficiency."
Crop insurance premium,Crop insurance premium is the amount paid by farmers for insurance coverage. Government subsidies often reduce the cost. It provides financial protection.
Plant stress detection,Plant stress detection identifies early signs of nutrient or water deficiency. Sensors and imaging tools are used. It prevents yield loss.
Bio-stimulants,Bio-stimulants are substances that enhance plant growth naturally. They improve nutrient uptake and stress tolerance. They are eco-friendly.
Cryopreservation,Cryopreservation is the storage of plant material at extremely low temperatures. It preserves genetic resources. It is used in seed banks.
Apiculture,Apiculture is the scientific management of honey bees. It improves pollination. It produces honey and other by-products.
Sericulture,Sericulture is the rearing of silkworms for silk production. It supports rural livelihoods. It is an important agro-based industry.
Mushroom cultivation,Mushroom cultivation is the growing of edible fungi. It requires controlled temperature and humidity. It provides high nutritional food.
Seed certification,Seed certification verifies the quality of seeds. It ensures purity and high germination rates. It helps farmers get reliable planting material.
Hardy crop varieties,"Hardy crop varieties are resistant to harsh climatic conditions. They tolerate heat, cold, and drought. They ensure stable production."
Biofortification,Biofortification increases the nutritional value of crops. It enhances vitamins and minerals in food. It helps combat malnutrition.
Soil alkalinity,Soil alkalinity refers to high pH conditions in soil. It affects nutrient availability and crop performance. Management includes gypsum application and organic matter addition.
Base saturation,Base saturation is the percentage of soil bases like calcium and magnesium. It indicates soil fertility status. Higher saturation usually means better nutrient availability.
Clay loam,"Clay loam is a soil texture containing balanced sand, silt, and clay. It holds nutrients and water well. It is suitable for many crops."
Sandy loam,Sandy loam is a light-textured soil with good drainage. It warms quickly and is easy to cultivate. Irrigation is needed frequently due to low water retention.
Soil cracking,Soil cracking occurs when clay-rich soils dry and shrink. It can damage plant roots. Proper moisture management reduces cracking.
Hydraulic conductivity,Hydraulic conductivity measures how easily water moves through soil. High values indicate good drainage. It affects irrigation planning.
Soil compaction layer,Soil compaction layer is a hardened zone restricting root growth. It reduces air and water movement. Deep tillage helps break it.
Anaerobic conditions,Anaerobic conditions occur when soil lacks oxygen. This harms root respiration. Good drainage prevents anaerobic soil states.
Aerobic conditions,Aerobic conditions exist when soil has sufficient oxygen. They favor beneficial microbes. Healthy plant roots develop under these conditions.
Soil temperature,Soil temperature influences seed germination and root growth. Warmer soils speed up microbial activity. Mulching helps regulate temperature.
Thermal time,Thermal time measures heat accumulation required for crop growth. It helps predict crop maturity. Also called growing degree days.
Growing degree days,Growing degree days measure accumulated heat for plant development. Farmers use it to plan harvest timing. It improves yield prediction.
Crop coefficient curve,Crop coefficient curve shows crop water demand at different growth stages. It helps in accurate irrigation scheduling. It improves water efficiency.
Spray drift,Spray drift is the movement of pesticide droplets away from target plants. It can harm nearby crops. Proper nozzle and wind control reduce drift.
Soil sponge effect,Soil sponge effect describes soil’s ability to absorb and store water. Organic matter improves this effect. It reduces runoff and erosion.
Crusting injury,Crusting injury occurs when seedlings cannot break through hardened soil surface. It reduces plant population. Light irrigation helps soften crust.
Plant vigor,Plant vigor refers to the strength and growth rate of plants. Vigorous plants resist pests better. Proper nutrition improves vigor.
Root pruning,Root pruning limits excessive root growth. It balances shoot and root development. Common in nursery management.
Light interception,Light interception is the capture of sunlight by plant leaves. It affects photosynthesis. Proper spacing improves light use.
Leaf area index,Leaf area index measures leaf surface area per ground area. Higher values mean more photosynthesis potential. It influences yield capacity.
Canopy temperature,Canopy temperature indicates plant water stress. Higher temperature suggests drought stress. Used in precision irrigation.
Crop residue cover,Crop residue cover is the protective layer of leftover plant material. It reduces erosion and conserves moisture. Important in conservation farming.
Soil biodiversity,Soil biodiversity is the variety of organisms in soil. It supports nutrient cycling. Healthy biodiversity improves soil fertility.
Biological nitrogen fixer,Biological nitrogen fixers are organisms converting nitrogen gas into usable forms. They reduce synthetic fertilizer needs. Common in legumes.
Nodule formation,Nodule formation occurs in legume roots due to symbiotic bacteria. It enables nitrogen fixation. It improves soil nitrogen levels.
Agro-silviculture,Agro-silviculture is the integration of crops with forest trees. It improves land productivity. It enhances soil and water conservation.
Silvopasture,"Silvopasture combines trees, forage crops, and livestock. It improves animal comfort and soil health. It increases farm profitability."
Green revolution,Green revolution was the agricultural transformation using high-yield varieties and fertilizers. It increased food production significantly. It improved food security.
Brown revolution,Brown revolution refers to increased production of cocoa and leather. It strengthened agricultural industries. It supported rural livelihoods.
White revolution,White revolution increased milk production through improved dairy practices. It made India a leading milk producer. It strengthened rural economy.
Blue revolution,Blue revolution improved fish production through aquaculture development. It boosted seafood availability. It improved livelihoods of fishing communities.
Yellow revolution,Yellow revolution enhanced oilseed production. It reduced edible oil imports. It strengthened oil crop farming.
Soil mulching film,Soil mulching film is a plastic sheet placed over soil. It conserves moisture and prevents weed growth. It increases soil temperature.
Shade net farming,Shade net farming uses net structures to reduce sunlight intensity. It protects crops from heat stress. It improves vegetable and flower quality.
Micro-irrigation,Micro-irrigation supplies water in small amounts directly to roots. It reduces water loss. It increases irrigation efficiency.
Automatic irrigation controller,Automatic irrigation controller uses sensors to regulate watering. It schedules irrigation based on soil moisture. It reduces water waste.
Crop stress index,Crop stress index measures plant stress levels. Used in precision agriculture. Helps in timely crop management.
Fertigation tank,Fertigation tank mixes fertilizer with irrigation water. It ensures uniform nutrient supply. It improves fertilizer efficiency.
Tensiometer,Tensiometer measures soil water tension. It shows how hard roots must work to extract water. Helps schedule irrigation.
Liming,Liming is the addition of lime to acidic soils. It raises soil pH. It improves nutrient availability.
Bio-remediation,Bio-remediation uses organisms to remove soil pollutants. It cleans contaminated land. It restores soil health.
Phytoremediation,Phytoremediation uses plants to absorb soil toxins. It is eco-friendly. It improves soil quality naturally.
Wind erosion,Wind erosion is soil loss due to strong winds. It reduces fertility. Shelterbelts help control it.
Sheet erosion,Sheet erosion is uniform removal of topsoil by water. It is often unnoticed. It reduces soil productivity.
Rill erosion,Rill erosion creates small channels in soil. It occurs due to surface runoff. It can develop into gullies.
Gully erosion,Gully erosion forms deep channels in land. It causes severe land degradation. It is difficult to reverse.
Carbon farming,Carbon farming increases carbon storage in soil. It reduces atmospheric CO₂. It improves soil fertility.
Soil carbon pool,Soil carbon pool is the total carbon stored in soil. It improves soil structure. It supports climate mitigation.
Soil organic matter,Soil organic matter includes decomposed plant and animal materials. It improves soil fertility. It enhances water retention.
Crop carbon footprint,Crop carbon footprint measures greenhouse gases from crop production. Lower footprint indicates sustainable practices. Helps in climate planning.
Nano-fertilizers,Nano-fertilizers use nano-technology for nutrient delivery. They improve absorption efficiency. They reduce fertilizer loss.
Slow-release fertilizers,Slow-release fertilizers release nutrients gradually. They reduce leaching losses. They provide long-term nutrition.
Controlled-release fertilizers,Controlled-release fertilizers deliver nutrients in measured amounts. They improve crop response. They reduce environmental impact.
Liquid fertilizers,Liquid fertilizers are nutrient solutions applied via irrigation or foliar spray. They provide quick nutrient uptake. They improve crop response.
Foliar feeding,Foliar feeding sprays nutrients directly on leaves. It provides fast nutrient correction. Used during nutrient deficiencies.
Starter fertilizers,Starter fertilizers support early plant growth. They are placed close to seeds. They improve seedling establishment.
Band placement,Band placement applies fertilizer in concentrated strips. It improves nutrient efficiency. It reduces fertilizer wastage.
Broadcast fertilization,Broadcast fertilization spreads nutrients uniformly over soil. It is simple to apply. It is less efficient than targeted methods.
Side dressing,Side dressing applies fertilizer beside growing plants. It provides nutrients during active growth. It improves crop yield.
Top dressing,Top dressing applies fertilizers on soil surface after crop emergence. It supports plant growth. Common for nitrogen fertilizers.
Soil nutrient mining,Soil nutrient mining occurs when crops remove more nutrients than replaced. It reduces soil fertility. Balanced fertilization prevents it.
Crop nutrient budget,Crop nutrient budget balances nutrient input and output. It ensures sustainability. It helps reduce pollution.
Soil water holding capacity,Soil water holding capacity is the soil’s ability to retain water. Influences drought resistance. Improved by organic matter.
Plant water use efficiency,Plant water use efficiency is biomass produced per unit of water used. Higher efficiency improves drought tolerance. Important in dry farming.
Soil infiltration capacity,Soil infiltration capacity measures maximum water absorption rate. Affects irrigation efficiency. Improves with good soil structure.
Rainfall intensity,Rainfall intensity is the amount of rain per unit time. High intensity increases erosion risk. Affects crop planning.
Effective rainfall,Effective rainfall is usable rainwater for crops. It excludes runoff losses. Important for irrigation planning.
Crop water productivity,Crop water productivity is yield per unit of water used. Higher values indicate efficient water use. Important in water-scarce regions.
Crop heat unit,Crop heat unit measures accumulated heat for crop development. Helps plan harvest time. Used in crop modeling.
Agro-climate resilience,Agro-climate resilience is the ability of farming systems to adapt to climate stress. It improves long-term stability. Achieved through diversification.
Climate mitigation farming,Climate mitigation farming reduces greenhouse gas emissions. It uses eco-friendly practices. Supports environmental sustainability.
Soil sealing,Soil sealing is covering soil with impermeable materials. It reduces water absorption. It leads to land degradation.
Plant water stress index,Plant water stress index measures crop water deficit. Used in smart farming. Helps avoid yield loss.
Crop root depth,Crop root depth determines water and nutrient exploration. Deeper roots improve drought tolerance. Important in crop selection.
Taproot system,Taproot system is a main rootot growing deep into soil. It anchors plants firmly. Improves water access.
Fibrous root system,Fibrous root system has many shallow roots. It absorbs surface nutrients. Common in grasses.
Stolon propagation,Stolon propagation uses horizontal stems to grow new plants. It is used in grasses. Supports vegetative reproduction.
Rhizome propagation,Rhizome propagation uses underground stems for growth. It is common in ginger and turmeric. It is asexual reproduction.
Tillering,Tillering is the formation of side shoots in crops. It increases plant population. Common in cereals.
Bolting,Bolting is sudden stem elongation before flowering. It affects vegetable quality. Triggered by temperature changes.
Crop senescence,Crop senescence is aging phase of plants. Leaves lose chlorophyll. Signals harvest readiness.
Physiological maturity,Physiological maturity is when seeds reach maximum dry weight. Harvesting at this stage ensures quality. Important for seed crops.
Economic threshold level,Economic threshold level is pest density at which control is needed. It minimizes unnecessary pesticide use. Used in IPM.
Damage threshold,Damage threshold is pest level causing economic damage. It helps in decision-making. Prevents overuse of chemicals.
Biological threshold,Biological threshold is pest density where population growth accelerates. Early intervention is effective. Used in pest prediction.
Stored grain pests,Stored grain pests damage harvested grains. They reduce food quality. Proper storage prevents infestation.
Fumigation,Fumigation uses gases to kill pests in storage. It protects stored grains. Requires safety precautions.
Hermetic storage,Hermetic storage is airtight grain storage. It prevents pest survival. It preserves grain quality.
Modified atmosphere storage,Modified atmosphere storage controls oxygen and carbon dioxide levels. It extends shelf life. Used for fruits and grains.
Solar dryers,Solar dryers use sunlight to dry crops. They reduce moisture content. They improve storage life.
Mechanical drying,Mechanical drying uses machines to remove moisture from crops. It is faster than sun drying. It improves quality.
Grain moisture meter,Grain moisture meter measures water content in grains. It ensures safe storage. It reduces spoilage risk.
Harvest index,Harvest index is the economic yield to total biomass ratio. Higher index means efficient crop. Used in breeding.
Crop water stress,Crop water stress occurs due to insufficient water. It reduces yield. Proper irrigation prevents it.
Yield gap,Yield gap is the difference between potential and actual yield. It indicates management inefficiency. Reducing gap improves productivity.
Farm diversification,Farm diversification involves multiple farm activities. It reduces financial risk. It stabilizes income.
Agro-processing,Agro-processing converts raw crops into value-added products. It increases shelf life. It boosts farmer income.
Rural entrepreneurship,Rural entrepreneurship involves business activities in rural areas. It creates employment. It strengthens rural economy.
Farm mechanization level,Farm mechanization level shows use of machines in agriculture. Higher level improves efficiency. Reduces labor dependency.
Custom hiring center,Custom hiring center rents farm machinery to farmers. It reduces investment burden. Supports small farmers.
Agro-service center,Agro-service center provides farming inputs and advice. It supports farmers. Improves productivity.
Seed replacement rate,Seed replacement rate measures use of certified seeds. Higher rate improves yield. It ensures genetic purity.
Crop phenotyping,Crop phenotyping measures plant traits. It helps select improved varieties. Used in research.
Participatory plant breeding,Participatory plant breeding involves farmers in crop improvement. It ensures local suitability. Strengthens farmer-research link.
Agro-climatic risk,Agro-climatic risk refers to crop losses caused by unpredictable weather conditions. It affects farm productivity. Risk management includes crop insurance and diversification.
Weather-based crop insurance,Weather-based crop insurance compensates farmers for losses due to weather extremes. It reduces financial risk. It encourages stable agricultural production.
Agro-met advisory,Agro-met advisory provides farmers with weather-based farming advice. It helps optimize sowing and irrigation. It reduces crop failure risk.
Drought proofing,Drought proofing involves practices that reduce the impact of water scarcity. Techniques include mulching and water harvesting. It improves crop survival.
Flood-resistant varieties,Flood-resistant varieties are crops that tolerate submerged conditions. They survive waterlogging better. Useful in flood-prone areas.
Salinity tolerant crops,Salinity tolerant crops can grow in high salt soils. They reduce yield loss in degraded lands. Useful for coastal and arid regions.
Heat tolerant varieties,Heat tolerant varieties withstand high temperatures. They maintain yield under climatic stress. Important under global warming.
Cold tolerant varieties,Cold tolerant varieties survive low temperatures. They prevent frost damage. Used in high-altitude farming.
Seed hardening,Seed hardening is a pre-sowing treatment to improve drought tolerance. It strengthens early growth. It increases crop resilience.
Plant acclimatization,Plant acclimatization helps plants adapt to environmental changes. It improves survival rates. Common in nursery practices.
Crop standby irrigation,Crop standby irrigation is watering given during dry spells. It protects crops from moisture stress. It stabilizes yield.
Contingency crop planning,Contingency crop planning involves alternate crop strategies during climate stress. It reduces crop failure risk. Used during late monsoons.
Variable rate technology,Variable rate technology applies inputs based on field variability. It minimizes waste. It increases efficiency.
Soil electrical conductivity,Soil electrical conductivity measures soil salinity. It helps identify problem zones. Guides soil management.
Crop health index,Crop health index shows the condition of plants. It uses vegetation data. Supports precision farming decisions.
Autonomous tractors,Autonomous tractors operate without human drivers. They increase efficiency. Used in large-scale agriculture.
Smart soil probes,Smart soil probes measure moisture and temperature. They provide real-time data. Used in modern irrigation systems.
Climate forecasting models,Climate forecasting models predict future weather patterns. They assist in farm planning. Reduce climate-related risks.
Internet of Farming (IoF),Internet of Farming connects farm devices through the internet. It enables remote monitoring. Supports digital agriculture.
Remote irrigation management,Remote irrigation management controls irrigation from distance. It saves labor and water. Increases irrigation efficiency.
Smart fertigation systems,Smart fertigation systems automate nutrient delivery. They optimize fertilizer use. Reduce nutrient losses.
Early pest warning system,Early pest warning system predicts pest outbreaks. It alerts farmers in advance. Reduces crop loss.
Disease forecasting models,Disease forecasting models predict plant diseases. They enable timely treatment. Improve crop protection.
Automated greenhouse lighting,Automated greenhouse lighting adjusts light levels. It optimizes plant growth. Supports year-round production.
Controlled atmosphere greenhouse,Controlled atmosphere greenhouse regulates gases and temperature. It improves crop quality. Enhances yield consistency.
Hydroponic nutrient film technique,Nutrient film technique is a hydroponic system where nutrients flow as a thin film. Roots absorb nutrients efficiently. Suitable for leafy vegetables.
Aeroponics,Aeroponics grows plants in air using nutrient mist. It uses very little water. Produces fast growth rates.
Soilless cultivation,Soilless cultivation grows plants without traditional soil. It uses organic or synthetic media. Improves resource efficiency.
Plant tissue culture,Plant tissue culture grows plants from small tissues. It produces disease-free plants. Used for rapid multiplication.
Micropropagation,Micropropagation is rapid plant multiplication in labs. It ensures genetic uniformity. Used for commercial crops.
Somatic embryogenesis,Somatic embryogenesis produces embryos from body cells. It is used in plant cloning. Helps in crop improvement.
Gene editing in crops,Gene editing modifies plant DNA for better traits. It improves yield and resistance. Supports modern breeding.
Genetically modified crops,Genetically modified crops have altered genes. They resist pests and stress. Increase productivity.
Marker assisted selection,Marker assisted selection uses genetic markers to improve crops. It speeds breeding process. Enhances accuracy.
Seed priming,Seed priming is controlled hydration of seeds. It improves germination speed. Strengthens early seedling growth.
Embryo rescue,Embryo rescue grows embryos in artificial media. It saves hybrids. Used in advanced plant breeding.
Double cropping,Double cropping grows two crops in one year. It maximizes land use. Increases farm income.
Triple cropping,Triple cropping grows three crops in a year. It increases production intensity. Requires good irrigation.
Border cropping,Border cropping plants protective crops around main fields. It reduces pest invasion. Improves field stability.
Parallel cropping,Parallel cropping grows crops side by side. It reduces competition. Improves efficiency.
Mixed cropping system,Mixed cropping system grows two crops together randomly. It reduces total crop failure risk. Improves biodiversity.
Sequential cropping,Sequential cropping grows crops one after another. It maintains continuous land use. Improves productivity.
Multi-tier cropping,Multi-tier cropping grows crops of different heights. It increases resource utilization. Common in orchards.
Living mulch,Living mulch uses cover crops as mulch. It reduces weeds. Improves soil health.
Biological seed treatment,Biological seed treatment uses beneficial microbes. It protects against diseases. Improves germination.
Seed exudates,Seed exudates are substances released during germination. They attract beneficial microbes. Aid early plant growth.
Rhizobacteria,Rhizobacteria live near plant roots. They promote growth. Improve nutrient availability.
Plant growth promoting bacteria,These bacteria enhance plant development. They improve root growth. Increase stress resistance.
Endophytes,Endophytes are microorganisms living inside plant tissues. They improve plant resistance. Enhance growth.
Compost tea,Compost tea is a liquid extract of compost. It nourishes plants. Improves microbial population.
Vermiwash,Vermiwash is liquid from vermicompost. It contains nutrients and hormones. Acts as liquid fertilizer.
Green leaf manuring,Green leaf manuring uses fresh plant leaves to enrich soil. It increases organic matter. Improves fertility.
Liquid biofertilizer,Liquid biofertilizers contain beneficial microbes. They are easy to apply. Improve nutrient uptake.
Bio-inoculants,Bio-inoculants introduce beneficial microbes into soil. They enhance plant growth. Reduce chemical fertilizer use.
Plant based pesticides,Plant based pesticides are derived from plants. They are eco-friendly. Safe for beneficial insects.
Microbial pesticides,Microbial pesticides use bacteria or fungi to kill pests. They are environment-friendly. Target specific pests.
Trap pheromones,Trap pheromones attract pests into traps. They reduce pest population. Used in integrated pest control.
Sticky traps,Sticky traps capture flying pests. They help in pest monitoring. Reduce insect numbers.
Light traps,Light traps use light to attract insects. They are used for pest control. Reduce chemical pesticide need.
Bird perches,Bird perches encourage predatory birds. They help control pests naturally. Promote eco-friendly farming.
Biological weed control,Biological weed control uses natural enemies to suppress weeds. It minimizes chemical use. Supports sustainable farming.
Cover crop termination,Cover crop termination involves removing cover crops before main crops. It releases nutrients. Improves soil conditions.
Mulch roller,Mulch roller flattens cover crops onto soil. It creates natural mulch. Reduces weed growth.
Crop residue incorporator,Crop residue incorporator mixes crop residues into soil. It increases organic matter. Improves soil structure.
Zero till seed drill,Zero till seed drill plants seeds without plowing. It reduces soil disturbance. Improves soil health.
Conservation agriculture,Conservation agriculture minimizes soil disturbance. Uses cover crops. Improves sustainability.
Climate resilient agriculture,Climate resilient agriculture adapts farming to climate change. Uses tolerant crops. Protects long-term productivity.
Low input agriculture,Low input agriculture reduces external chemical use. Relies on natural resources. Supports eco-farming.
Natural farming inputs,Natural farming inputs include cow dung-based formulations. They replace synthetic fertilizers. Reduce farming cost.
Indigenous technical knowledge,Indigenous technical knowledge is traditional farming wisdom. It supports sustainable practices. Preserves cultural heritage.
Community seed saving,Community seed saving involves local seed conservation. It preserves native varieties. Improves resilience.
Farmer field school,Farmer field school is a learning approach in farming. It teaches through practical experience. Improves farm skills.
Extension services,Extension services provide technical support to farmers. They improve knowledge. Increase agricultural productivity.
Agri start-ups,Agri start-ups are new agricultural technology businesses. They introduce innovation. Improve farm efficiency.
Agri entrepreneurship,Agri entrepreneurship creates agribusiness ventures. It increases rural employment. Strengthens economy.
Vertical integration,Vertical integration controls multiple production stages. It improves efficiency. Reduces dependency on middlemen.
Contract farming,Contract farming is agreement between farmers and companies. It assures market and price. Reduces marketing risk.
Warehouse receipt system,Warehouse receipt system allows farmers to store crops and get loans. It prevents distress sale. Improves financial security.
Commodity grading standards,Commodity grading standards define quality benchmarks. They improve market transparency. Help farmers earn better prices.
Farm branding,Farm branding creates unique identity of farm produce. It increases market value. Helps in direct marketing.
Organic labeling,Organic labeling certifies chemical-free products. It builds consumer trust. Increases market demand.
Traceability system,Traceability system tracks food from farm to consumer. It ensures quality and safety. Prevents fraud.
Agri export promotion,Agri export promotion supports international sales. It improves farmer income. Strengthens national economy.
Trade facilitation,Trade facilitation simplifies agricultural exports. It reduces delays. Improves competitiveness.
Crop loss assessment,Crop loss assessment evaluates damage after disasters. It helps insurance claims. Guides compensation.
Disaster resilient farming,Disaster resilient farming reduces vulnerability to disasters. Uses strong infrastructure. Secures food production.
Agro disaster preparedness,Agro disaster preparedness includes plans for floods and droughts. It minimizes losses. Protects farmer livelihoods.
Food traceability,Food traceability tracks food safety. It ensures quality. Protects consumer health.
